subjID,keycode
Ndim1a_q1_01,x442185152q100x
Ndim1a_q2_01,x442185152q200x
Ndim1a_q3_01,x442185152q300x
Ndim1a_q4_01,x442185152q400x
Ndim1a_q5_01,x442185152q500x
Ndim1a_q6_01,x442185152q600x
Ndim1a_q7_01,x442185152q700x
Ndim1a_q8_01,x442185152q800x
Ndim1a_q9_01,x442185152q900x
Ndim1a_q10_01,x442185152q1000x
Ndim1a_q11_01,x442185152q1100x
Ndim1a_q12_01,x442185152q1200x
Ndim1a_q13_01,x442185152q1300x
Ndim1a_q14_01,x442185152q1400x
Ndim1a_q15_01,x442185152q1500x
Ndim1a_q16_01,x442185152q1600x
Ndim1a_q17_01,x442185152q1700x
Ndim1a_q18_01,x442185152q1800x
Ndim1a_q19_01,x442185152q1900x
Ndim1a_q20_01,x442185152q2000x
Ndim1a_q21_01,x442185152q2100x
Ndim1a_q22_01,x442185152q2200x
Ndim1a_q23_01,x442185152q2300x
Ndim1a_q24_01,x442185152q2400x
Ndim1a_q25_01,x442185152q2500x
Ndim1a_q26_01,x442185152q2600x
Ndim1a_q27_01,x442185152q2700x
Ndim1a_q28_01,x442185152q2800x
Ndim1a_q29_01,x442185152q2900x
Ndim1a_q30_01,x442185152q3000x
Ndim1a_q31_01,x442185152q3100x
Ndim1a_q32_01,x442185152q3200x
Ndim1a_q33_01,x442185152q3300x
Ndim1a_q34_01,x442185152q3400x
Ndim1a_q35_01,x442185152q3500x
Ndim1a_q36_01,x442185152q3600x
Ndim1a_q37_01,x442185152q3700x
Ndim1a_q38_01,x442185152q3800x
Ndim1a_q39_01,x442185152q3900x
Ndim1a_q40_01,x442185152q4000x
Ndim1a_q41_01,x442185152q4100x
Ndim1a_q42_01,x442185152q4200x
Ndim1a_q43_01,x442185152q4300x
Ndim1a_q44_01,x442185152q4400x
Ndim1a_q45_01,x442185152q4500x
Ndim1a_q46_01,x442185152q4600x
Ndim1a_q47_01,x442185152q4700x
Ndim1a_q48_01,x442185152q4800x
Ndim1a_q49_01,x442185152q4900x
Ndim1a_q50_01,x442185152q5000x
Ndim1a_q51_01,x442185152q5100x
Ndim1a_q52_01,x442185152q5200x
Ndim1a_q53_01,x442185152q5300x
Ndim1a_q54_01,x442185152q5400x
Ndim1a_q55_01,x442185152q5500x
Ndim1a_q56_01,x442185152q5600x
Ndim1a_q57_01,x442185152q5700x
Ndim1a_q58_01,x442185152q5800x
Ndim1a_q59_01,x442185152q5900x
Ndim1a_q60_01,x442185152q6000x
Ndim1a_q61_01,x442185152q6100x
Ndim1a_q62_01,x442185152q6200x
Ndim1a_q63_01,x442185152q6300x
Ndim1a_q64_01,x442185152q6400x
Ndim1a_q65_01,x442185152q6500x
Ndim1a_q66_01,x442185152q6600x
Ndim1a_q67_01,x442185152q6700x
Ndim1a_q68_01,x442185152q6800x
Ndim1a_q69_01,x442185152q6900x
Ndim1a_q70_01,x442185152q7000x
Ndim1a_q71_01,x442185152q7100x
Ndim1a_q72_01,x442185152q7200x
Ndim1a_q73_01,x442185152q7300x
Ndim1a_q74_01,x442185152q7400x
Ndim1a_q75_01,x442185152q7500x
Ndim1a_q76_01,x442185152q7600x
Ndim1a_q77_01,x442185152q7700x
Ndim1a_q78_01,x442185152q7800x
Ndim1a_q79_01,x442185152q7900x
Ndim1a_q80_01,x442185152q8000x
Ndim1a_q81_01,x442185152q8100x
Ndim1a_q82_01,x442185152q8200x
Ndim1a_q83_01,x442185152q8300x
Ndim1a_q84_01,x442185152q8400x
Ndim1a_q85_01,x442185152q8500x
Ndim1a_q88_01,x442185152q8800x
Ndim1a_q89_01,x442185152q8900x
Ndim1a_q90_01,x442185152q9000x
Ndim1a_q91_01,x442185152q9100x
Ndim1a_q92_01,x442185152q9200x
