emotionlist,names
Neutral,Dana
Angry,Caroline
Annoyed,Nancy
Disappointed,Adele
Disgusted,Maya
Apprehensive,Leah
Embarrassed,Hilary
Sad,Liz
Guilty,Julia
Lonely,Suzanne
Afraid,Tanya
Content,Rachel
Grateful,Kim
Hopeful,Francesca
Impressed,Rebecca
Joyful,Melissa
Nostalgic,Sarah
Proud,Alison
Surprised,Jennifer
,Amanda
,Emily
,Georgia
,Laurie
,Ellyn
,Chelsey
,Alana
,Rose
,Renee
,Addie
,Celia
,Isabel
,Holly
,Lucia
,Loretta
,Robin
,Lisa
,Charlize
,Chloe
,Andrea
,Cora
,Crystal
,Daphne
,Darlene
,Jena
,Jacqueline
,Marianne
,Shannon
,Mariam
,Dani
,Shauna
,Karly
,Maggie
,Skye
,Bria
,Felicia
,Olivia
,Trina
,Katie
,Tiffany
,Esther
,Betty
,Brianna
,Kellie
,Grace
,Phoebe
,Zana
,Carrie
,Hannah
,Gwen
,Lexi
,Hazel
,Rania
,Haley
,Cassandra
,Patty
,Raquel
,Cassie
,Faith
,Kiley
,Odele
,Trish
,Theresa
,Nell
,Naomi
,Kendra
,Lottie
,Sheena
,Michelle
,Gina
,Lindsey
,Wendy
,Samantha
