subjID,keycode
Ndim1a_q1_01,x442185152q100x
Ndim1a_q1_02,x436424411q110x
Ndim1a_q1_03,x603427188q120x
Ndim1a_q1_04,x796462709q130x
Ndim1a_q1_05,x604808973q140x
Ndim1a_q2_01,x442185152q200x
Ndim1a_q2_02,x436424411q210x
Ndim1a_q2_03,x603427188q220x
Ndim1a_q2_04,x796462709q230x
Ndim1a_q2_05,x604808973q240x
Ndim1a_q3_01,x442185152q300x
Ndim1a_q3_02,x436424411q310x
Ndim1a_q3_03,x603427188q320x
Ndim1a_q3_04,x796462709q330x
Ndim1a_q3_05,x604808973q340x
Ndim1a_q4_01,x442185152q400x
Ndim1a_q4_02,x436424411q410x
Ndim1a_q4_03,x603427188q420x
Ndim1a_q4_04,x796462709q430x
Ndim1a_q4_05,x604808973q440x
Ndim1a_q5_01,x442185152q500x
Ndim1a_q5_02,x436424411q510x
Ndim1a_q5_03,x603427188q520x
Ndim1a_q5_04,x796462709q530x
Ndim1a_q5_05,x604808973q540x
Ndim1a_q6_01,x442185152q600x
Ndim1a_q6_02,x436424411q610x
Ndim1a_q6_03,x603427188q620x
Ndim1a_q6_04,x796462709q630x
Ndim1a_q6_05,x604808973q640x
Ndim1a_q7_01,x442185152q700x
Ndim1a_q7_02,x436424411q710x
Ndim1a_q7_03,x603427188q720x
Ndim1a_q7_04,x796462709q730x
Ndim1a_q7_05,x604808973q740x
Ndim1a_q8_01,x442185152q800x
Ndim1a_q8_02,x436424411q810x
Ndim1a_q8_03,x603427188q820x
Ndim1a_q8_04,x796462709q830x
Ndim1a_q8_05,x604808973q840x
Ndim1a_q9_01,x442185152q900x
Ndim1a_q9_02,x436424411q910x
Ndim1a_q9_03,x603427188q920x
Ndim1a_q9_04,x796462709q930x
Ndim1a_q9_05,x604808973q940x
Ndim1a_q10_01,x442185152q1000x
Ndim1a_q10_02,x436424411q1010x
Ndim1a_q10_03,x603427188q1020x
Ndim1a_q10_04,x796462709q1030x
Ndim1a_q10_05,x604808973q1040x
Ndim1a_q11_01,x442185152q1100x
Ndim1a_q11_02,x436424411q1110x
Ndim1a_q11_03,x603427188q1120x
Ndim1a_q11_04,x796462709q1130x
Ndim1a_q11_05,x604808973q1140x
Ndim1a_q12_01,x442185152q1200x
Ndim1a_q12_02,x436424411q1210x
Ndim1a_q12_03,x603427188q1220x
Ndim1a_q12_04,x796462709q1230x
Ndim1a_q12_05,x604808973q1240x
Ndim1a_q13_01,x442185152q1300x
Ndim1a_q13_02,x436424411q1310x
Ndim1a_q13_03,x603427188q1320x
Ndim1a_q13_04,x796462709q1330x
Ndim1a_q13_05,x604808973q1340x
Ndim1a_q14_01,x442185152q1400x
Ndim1a_q14_02,x436424411q1410x
Ndim1a_q14_03,x603427188q1420x
Ndim1a_q14_04,x796462709q1430x
Ndim1a_q14_05,x604808973q1440x
Ndim1a_q15_01,x442185152q1500x
Ndim1a_q15_02,x436424411q1510x
Ndim1a_q15_03,x603427188q1520x
Ndim1a_q15_04,x796462709q1530x
Ndim1a_q15_05,x604808973q1540x
Ndim1a_q16_01,x442185152q1600x
Ndim1a_q16_02,x436424411q1610x
Ndim1a_q16_03,x603427188q1620x
Ndim1a_q16_04,x796462709q1630x
Ndim1a_q16_05,x604808973q1640x
Ndim1a_q17_01,x442185152q1700x
Ndim1a_q17_02,x436424411q1710x
Ndim1a_q17_03,x603427188q1720x
Ndim1a_q17_04,x796462709q1730x
Ndim1a_q17_05,x604808973q1740x
Ndim1a_q18_01,x442185152q1800x
Ndim1a_q18_02,x436424411q1810x
